f,代码块描述,是否可以生产pb,函数调用名称1,调用名称,单位,单位消耗,类别,是否是默认代码块,类型 ,代码块权限,关联数据结构,提示图标,模板,可隐藏结构,参数1,参数2,参数3,参数4,参数5,参数6,参数7,参数8,参数9,参数10,参数11,参数12,参数13,参数14,参数15,参数16,参数17,参数18,参数19,参数20,参数21,参数22,参数23,参数24,参数25,模板2,代码块排序,是否能在公共区域使用
10725,弹出对话代码块,,,,,,function,1,block,2,,,对%%{1}弹出%%{2}，%%{3}，%%{4}，$$%%{5}，$$%%{6}$$##图片%%{7}$$##%%{8}$$##选项%%{9}%%{10}%%{11}%%{12}$$,"1,1,99;6,1,1;3,1,2",blank;;2;800,output;10718;对话,"dropdown;1;普通对话,问答题,选择题","dropdown;1;屏幕对话,场景对话,顶部对话,大喊","dropdown;10;无配音,小燕,许久,小萍,小婧,许小宝,芳芳,楠楠,七哥;;0,4,5,6,7,8,1,2,3;8","dropdown;1;无配图,有配图",input;2;请输入图片链接,input;2;请输入文本;300;;2,input;2;选项1,input;2;选项2,input;2;选项3,input;2;选项4,,,,,,,,,,,,,,,1050,1
10726,过场动画代码块,,,,,,internal,1,block,,,,对%%{1}播放过场动画，%%{2},,blank;;2;800,input;2;请输入视频连接,,,,,,,,,,,,,,,,,,,,,,,,,,1
10727,生物类,,,,,,prop,1,value,,,class,生物 %%{1},,prop;Entity;3,,,,,,,,,,,,,,,,,,,,,,,,,,700,1
10728,生物切换代码块,,,,,,internal,1,block,,,,将%%{1}外观切换成%%{2}$$%%{3}$$,"2,1,1",blank;;2;800,"dropdown;1;原外观,指定生物;;1,0","blank;10727;3;700,1500",,,,,,,,,,,,,,,,,,,,,,,,,1
10729,弹出对话代码块（最新整合版),,,,,,internal,,block,,,,对%%{1}弹出$$%%{2}$$$$%%{3}$$$$%%{4}$$，%%{5}，%%{6}，%%{7}，$$##%%{8}$$$$，声音：%%{9}$$$$##%%{10}$$$$，图片：%%{11}##$$$$自动关闭：%%{12}$$$$，持续%%{13}秒$$$$，自动镜头：%%{14}$$$$，持续%%{15}秒$$$$##选项%%{16}%%{17}%%{18}%%{19}$$##文本%%{20},"5,1,0;5,1,1;5,1,2;7,1,1;8,1,9;7,1,1;10,1,1;7,1,1;12,1,1;7,1,1;14,1,1;5,1,2",blank;;2;800,output;10718;对话,output;10718;问题,output;10718;问题,"dropdown;1;普通对话,问答题,选择题","dropdown;1;屏幕对话,场景对话,顶部对话,大喊","dropdown;1;基础功能,高级功能","dropdown;10;无配音,小燕,许久,小萍,小婧,许小宝,芳芳,楠楠,七哥,自定义配音;;0,5,6,7,8,9,2,3,4,1;20",input;2;请输入配音链接,"dropdown;1;无配图,自定义配图",input;2;请输入图片链接,"dropdown;1;关,开","input;1;时长,1,0,9999;100","dropdown;1;关,开","input;1;时长,1,0,9999;100",input;2;选项1,input;2;选项2,input;2;选项3,input;2;选项4,input;2;请输入文本;300;;2,,,,,,,1060,1
10730,弹出对话代码块（最新整合中控版),,,,,,internal,,block,,,,让%%{1}对%%{2}弹出$$%%{3}$$$$%%{4}$$$$%%{5}$$，%%{6}，%%{7}，%%{8}，$$##%%{9}$$$$，声音：%%{10}$$$$##%%{11}$$$$，图片：%%{12}##$$$$自动关闭：%%{13}$$$$，持续%%{14}秒$$$$，自动镜头：%%{15}$$$$，持续%%{16}秒$$$$##选项%%{17}%%{18}%%{19}%%{20}$$##文本%%{21},"6,1,0;6,1,1;6,1,2;8,1,1;9,1,9;8,1,1;11,1,1;8,1,1;13,1,1;8,1,1;15,1,1;6,1,2",blank;10126;2;800,blank;;2;800,output;10718;对话,output;10718;问题,output;10718;问题,"dropdown;1;普通对话,问答题,选择题","dropdown;1;屏幕对话,场景对话,顶部对话,大喊","dropdown;1;基础功能,高级功能","dropdown;10;无配音,小燕,许久,小萍,小婧,许小宝,芳芳,楠楠,七哥,自定义配音;;0,5,6,7,8,9,2,3,4,1;21",input;2;请输入配音链接,"dropdown;1;无配图,自定义配图",input;2;请输入图片链接,"dropdown;1;关,开","input;1;时长,1,0,9999;100","dropdown;1;关,开","input;1;时长,1,0,9999;100",input;2;选项1,input;2;选项2,input;2;选项3,input;2;选项4,input;2;请输入文本;300;;2,,,,,,1070,1
10731,弹出视频返回值,,,,,,return,,value,,,,弹出视频返回值,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10732,弹出视频代码块,,,,,,function,1,block,,,,对%%{1}弹出%%{2}，展示类型：%%{3}##视频地址：%%{4},,blank;;2;800,output;10731;视频,"dropdown;1;窗口化视频,最大化视频,全屏视频,沉浸式视频;;3,2,1,0",input;2;请输入视频连接,,,,,,,,,,,,,,,,,,,,,,,1100,1
10733,视频结束事件,,,,,,event,1,block,,,,当%%{1}结束时%%{2},,blank;;11;1700,output;10095;触发者,,,,,,,,,,,,,,,,,,,,,,,,,,1
10734,弹出内容结束事件,,,,,,event,1,block,,,,当%%{1}结束时$$，%%{2}$$$$%%{3}$$$$%%{4}$$$$%%{5}$$,"1,2,10718||1,2,10703||1,2,10731;1,2,10718&问题;1,2,10703;1,2,999",blank;;12;1800,output;10095;触发者,output;10719;答案,output;10704;得分,output;10705;时长,,,,,,,,,,,,,,,,,,,,,,,1
10735,弹出关卡整合,,,,,,internal,1,block,,,,"对%%{1}弹出%%{2}$$%%{3},%%{4}模式$$$$%%{5}$$
$$%%{6}$$$$%%{7}$$","2,1,0;2,1,1;2,1,0;2,1,1",blank;;2;800,"dropdown;1;鲸幂关卡,编程puzzle",output;10703;鲸幂关卡,"dropdown;1;jimmy,小段",output;10703;puzzle,input;2;请输入鲸幂关卡json的url,input;2;请输入编程puzzle的关卡id,,,,,,,,,,,,,,,,,,,,,1
10736,弹出对话代码块（最新整合版),,,,,,internal,,block,,,,对%%{1}弹出$$%%{2}$$$$%%{3}$$$$%%{4}$$，%%{5}，%%{6}，%%{7}，$$##%%{8}$$$$，声音：%%{9}$$$$##%%{10}$$$$，图片：%%{11}##$$$$自动关闭：%%{12}$$$$，持续%%{13}秒$$$$，自动镜头：%%{14}$$$$，持续%%{15}秒$$$$##选项%%{16}%%{17}%%{18}%%{19}$$##文本%%{20},"5,1,0;5,1,1;5,1,2;7,1,1;8,1,9;7,1,1;10,1,1;7,1,1;12,1,1;7,1,1;14,1,1;5,1,2",blank;;2;800,output;10718;对话,output;10718;问题,output;10718;问题,"dropdown;1;普通对话,问答题,选择题","dropdown;1;屏幕对话,场景对话,顶部对话,大喊","dropdown;1;基础功能,高级功能","dropdown;10;无配音,小燕,许久,小萍,小婧,许小宝,芳芳,楠楠,七哥,自定义配音;;0,5,6,7,8,9,2,3,4,1;20",blank;13003;13;1900,"dropdown;1;无配图,自定义配图",input;2;请输入图片链接,"dropdown;1;关,开","input;1;时长,1,0,9999;100","dropdown;1;关,开","input;1;时长,1,0,9999;100",input;2;选项1,input;2;选项2,input;2;选项3,input;2;选项4,input;2;请输入文本;300;;2,,,,,,,1060,1
10737,弹出对话代码块（最新整合中控版),,,,,,internal,1,block,,,,让%%{1}对%%{2}弹出$$%%{3}$$$$%%{4}$$$$%%{5}$$，%%{6}，%%{7}，%%{8}，$$##%%{9}$$$$，声音：%%{10}$$$$##%%{11}$$$$，图片：%%{12}##$$$$自动关闭：%%{13}$$$$，持续%%{14}秒$$$$，自动镜头：%%{15}$$$$，持续%%{16}秒$$$$##选项%%{17}%%{18}%%{19}%%{20}$$##文本%%{21},"6,1,0;6,1,1;6,1,2;8,1,1;9,1,9;8,1,1;11,1,1;8,1,1;13,1,1;8,1,1;15,1,1;6,1,2",blank;10126;2;800,blank;;2;800,output;10718;对话,output;10718;问题,output;10718;问题,"dropdown;1;普通对话,问答题,选择题","dropdown;1;屏幕对话,场景对话,顶部对话,大喊","dropdown;1;基础功能,高级功能","dropdown;10;无配音,小燕,许久,小萍,小婧,许小宝,芳芳,楠楠,七哥,自定义配音;;0,5,6,7,8,9,2,3,4,1;21",blank;13003;13;1900,"dropdown;1;无配图,自定义配图",input;2;请输入图片链接,"dropdown;1;关,开","input;1;时长,1,0,9999;100","dropdown;1;关,开","input;1;时长,1,0,9999;100",input;2;选项1,input;2;选项2,input;2;选项3,input;2;选项4,input;2;请输入文本;300;;2,,,,,,1070,1
10740,场景结算代码块,,,,,,internal,1,block,,,,对%%{1}弹出课程结算界面,,blank;;2;800,,,,,,,,,,,,,,,,,,,,,,,,,,1200,0
10741,弹出scratch diy,,,,,,internal,1,block,,,,对%%{1}弹出%%{2}：%%{3}，结束模式为：%%{4},,blank;;2;800,output;10703;scratch diy关卡,input;2;请输入平台diy的id;300,"dropdown;1;作品提交,阶段完成（继承）",,,,,,,,,,,,,,,,,,,,,,,,1
10742,场景结算代码块,,,,,,internal,1,block,,,,对%%{1}弹出%%{2}结算界面$$%%{3}$$,"2,1,0",blank;;2;800,"dropdown;1;完成,失败","dropdown;1;三星,二星,一星",,,,,,,,,,,,,,,,,,,,,,,,1200,1
10801,让XX接受/完成/交付XX任务，任务详情,,,,,,internal,1,block,,,,让%%{1} %%{2} %%{3}，任务 %%{4},,blank;;2;800,"dropdown;1;接受,完成,交付",input;2;任务名(ID),taskDetail,,,,,,,,,,,,,,,,,,,,,,,800,1
10802,XX的XX任务完成,,,,,,internal,1,boolean,,,,%%{1}的%%{2}任务完成,,blank;;2;800,input;2;请输入任务;300,,,,,,,,,,,,,,,,,,,,,,,,,,1
10803,当XX结束答题时【答对题数】【积分】,,,,,,event,1,block,,,,当%%{1}结束此实体的答题时%%{2}%%{3},,output;10095;触发者,output;10138;答对题数,output;10138;积分,,,,,,,,,,,,,,,,,,,,,,,,,1
10901,设置【】的摄像机移动模式为【跟随主角/自由移动/固定】，屏蔽UI【是/否】，屏蔽场景操作【是/否】,,,,,,function,1,block,,,,设置%%{1}的摄像机移动模式为%%{2}屏蔽UI%%{3}屏蔽场景操作%%{4},,blank;10126;2;800,"dropdown;1;跟随主角,自由移动,固定","dropdown;1;是,否;;1,0","dropdown;1;是,否;;1,0",,,,,,,,,,,,,,,,,,,,,,,,1
10902,设置【】的摄像机位置为【】,,,,,,function,1,block,,,,设置%%{1}的摄像机位置为%%{2},,blank;10126;2;800,blank;10129;1;500,,,,,,,,,,,,,,,,,,,,,,,,,,1
10903,将【角色】的摄像机在【时间】内缩放到【倍数】,,,,,,function,1,block,,,,将%%{1}的摄像机在%%{2}秒内缩放到%%{3}倍,,blank;10126;2;800,"input;1;秒,1,0,99999999;1000","input;1;倍,1,0,10;1000",,,,,,,,,,,,,,,,,,,,,,,,,1
10904,将【角色】的摄像机以【速度】缩放到【倍数】,,,,,,function,1,block,,,,将%%{1}的摄像机以%%{2}倍每秒的速度缩放到%%{3}倍,,blank;10126;2;800,"input;1;倍每秒,1,0,10;1000","input;1;倍,1,0,10;1000",,,,,,,,,,,,,,,,,,,,,,,,,1
10905,将【角色】的摄像机在 【XX】秒内移动到【坐标点】,,,,,,function,1,block,,,,将%%{1}的摄像机在%%{2}秒内移动到%%{3},,blank;10126;2;800,"input;1;秒,1,0,99999999;1000",blank;10129;1;500,,,,,,,,,,,,,,,,,,,,,,,,,1
10906,将【角色】的摄像机以【XX】速度移动到【坐标点】,,,,,,function,1,block,,,,将%%{1}的摄像机以%%{2}像素每秒的速度移动到%%{3},,blank;10126;2;800,"input;1;像素每秒,1,0,99999999;1000",blank;10129;1;500,,,,,,,,,,,,,,,,,,,,,,,,,1
10907,隐藏/显示【实体】,,,,,,function,1,block,2,,,%%{1}%%{2},,"dropdown;1;显示,隐藏",blank;10126;2;800,,,,,,,,,,,,,,,,,,,,,,,,,400,1
11001,当XX点击XX气泡时,,,,,,event,1,block,,,,当%%{1}点击%%{2}时,,output;10095;触发者,blank;;9;1400,,,,,,,,,,,,,,,,,,,,,,,,,,1
11002,对XX显示私有XX气泡,,,,,,internal,1,block,,,,对%%{1}显示私有%%{2},,blank;;2;800,output;11006;气泡,struct;10001,,,,,,,,,,,,,,,,,,,,,,,,,1
11003,显示公共XX气泡,,,,,,internal,1,block,,,,显示公共%%{1},,output;11006;气泡,struct;10001,,,,,,,,,,,,,,,,,,,,,,,,,,1
11004,显示/隐藏XX气泡,,,,,,internal,1,block,,,,%%{1}%%{2},,"dropdown;1;显示,隐藏",blank;;9;1400,,,,,,,,,,,,,,,,,,,,,,,,,,1
11005,设置XX气泡位置为左/中/右,,,,,,internal,1,block,,,,设置%%{1}位置为%%{2},,blank;;9;1400,"dropdown;1;左,中,右",,,,,,,,,,,,,,,,,,,,,,,,,,1
11006,气泡类型返回值,,,,,,return,1,value,,10001,bubble,气泡回调,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
20001,junior开始代码块,,internal,,block,,event,1,block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
20002,junior等待代码块,,internal,,block,,control,1,block,,,,%%{1}%%{2},,juniorArgs,"input;5;数字,1,-99999999,99999999;1000",,,,,,,,,,,,,,,,,,,,,,,,,,1
20003,junior左上移动(c--)代码块,,internal,,block,,move,1,block,,,,%%{1},,juniorArgs,,,,,,,,,,,,,,,,,,,,,,,,,,,1
20004,junior右上移动(r--)代码块,,internal,,block,,move,1,block,,,,%%{1},,juniorArgs,,,,,,,,,,,,,,,,,,,,,,,,,,,1
20005,junior左下移动(r++)代码块,,internal,,block,,move,1,block,,,,%%{1},,juniorArgs,,,,,,,,,,,,,,,,,,,,,,,,,,,1
20006,junior右下移动(c++)代码块,,internal,,block,,move,1,block,,,,%%{1},,juniorArgs,,,,,,,,,,,,,,,,,,,,,,,,,,,1
20007,硬件开始,,,,,,event,,block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
20008,硬件前进,,,,,,move,,block,,,,%%{1}%%{2},,juniorArgs,"input;5;数字,1,-99999999,99999999;1000",,,,,,,,,,,,,,,,,,,,,,,,,,1
20009,硬件后退,,,,,,move,,block,,,,%%{1}%%{2},,juniorArgs,"input;5;数字,1,-99999999,99999999;1000",,,,,,,,,,,,,,,,,,,,,,,,,,1
20010,硬件左转,,,,,,move,,block,,,,%%{1}%%{2},,juniorArgs,"input;5;数字,1,-99999999,99999999;1000",,,,,,,,,,,,,,,,,,,,,,,,,,1
20011,硬件右转,,,,,,move,,block,,,,%%{1}%%{2},,juniorArgs,"input;5;数字,1,-99999999,99999999;1000",,,,,,,,,,,,,,,,,,,,,,,,,,1
20012,硬件有限循环,,,,,,control,,block,,,,%%{1}%%{2},,juniorArgs,"input;5;数字,1,1,99999999;1000",,,,,,,,,,,,,,,,,,,,,,,,,,1
20013,硬件无限循环,,,,,,control,,block,,,,%%{1},,juniorArgs,,,,,,,,,,,,,,,,,,,,,,,,,,,1
20014,硬件循环结束,,,,,,control,,block,,,,%%{1},,juniorArgs,,,,,,,,,,,,,,,,,,,,,,,,,,,1
20015,junior向上走,,,,,,move,1,block,,,,%%{1}%%{2},,juniorArgs,"input;5;数字,1,-99999999,99999999;1000",,,,,,,,,,,,,,,,,,,,,,,,,,1
20016,junior向下走,,,,,,move,1,block,,,,%%{1}%%{2},,juniorArgs,"input;5;数字,1,-99999999,99999999;1000",,,,,,,,,,,,,,,,,,,,,,,,,,1
20017,junior向左走,,,,,,move,1,block,,,,%%{1}%%{2},,juniorArgs,"input;5;数字,1,-99999999,99999999;1000",,,,,,,,,,,,,,,,,,,,,,,,,,1
20018,junior向右走,,,,,,move,1,block,,,,%%{1}%%{2},,juniorArgs,"input;5;数字,1,-99999999,99999999;1000",,,,,,,,,,,,,,,,,,,,,,,,,,1
20019,junior有限循环,,,,,,control,1,forkable,,,,%%{1}%%{2},,juniorArgs,"input;5;数字,1,1,99999999;1000",,,,,,,,,,,,,,,,,,,,,,,,,,1
20020,junior无限循环,,,,,,control,1,forkable,,,,%%{1},,juniorArgs,,,,,,,,,,,,,,,,,,,,,,,,,,,1
20021,junior创建函数,,,,,,diyfunction,1,block,,,,%%{1}%%{2},,input;4;请输入命名;400,define_args;,,,,,,,,,,,,,,,,,,,,,,,,,,1
20022,junior搬运,,,,,,function,1,block,,,,%%{1}%%{2},,juniorArgs,"surround;0,1,2,3,4,5,6,7",,,,,,,,,,,,,,,,,,,,,,,,,,1
20023,junior放置,,,,,,function,1,block,,,,%%{1}%%{2},,juniorArgs,"surround;0,1,2,3,4,5,6,7",,,,,,,,,,,,,,,,,,,,,,,,,,1
20024,junior破坏,,,,,,function,1,block,,,,%%{1}%%{2},,juniorArgs,"surround;0,1,2,3,4,5,6,7",,,,,,,,,,,,,,,,,,,,,,,,,,1
20025,junior隐藏,,,,,,function,1,block,,,,%%{1},,juniorArgs,,,,,,,,,,,,,,,,,,,,,,,,,,,1
20026,junior显示,,,,,,function,1,block,,,,%%{1},,juniorArgs,,,,,,,,,,,,,,,,,,,,,,,,,,,1
20027,junior切换下一个动画,,,,,,function,1,block,,,,%%{1},,juniorArgs,,,,,,,,,,,,,,,,,,,,,,,,,,,1
20028,junior切换指定动画,,,,,,function,1,block,,,,%%{1}%%{2},,juniorArgs,dropdown;13,,,,,,,,,,,,,,,,,,,,,,,,,,1
20029,JR点击事件代码块,,,,,,event,1,block,,,clickEntity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
20030,JR按下按键事件代码块,,,,,,event,1,block,,,keydown,%%{1},,"dropdown;1;空格,↑,↓,←,→,任意,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,0,1,2,3,4,5,6,7,8,9",,,,,,,,,,,,,,,,,,,,,,,,,,,1
22001,对实体弹出实体本身的模板功能,,,,,,internal,1,block,,,,对%%{1}弹出实体本身的模板功能,,blank;;2;800,,,,,,,,,,,,,,,,,,,,,,,,,,,1
30001,显示器内弹出鲸幂关卡,,,,,,internal,,block,,,,在显示器实体内对%%{1}弹出%%{2}：%%{3}，%%{4}模式,,blank;;2;800,output;10703;鲸幂关卡,input;2;请输入鲸幂关卡的url,"dropdown;1;jimmy,小段",,,,,,,,,,,,,,,,,,,,,,,,1
30002,显示器内弹出puzzle,,,,,,internal,,block,,,,在显示器实体内对%%{1}弹出%%{2}：%%{3},,blank;;2;800,output;10703;puzzle,input;2;请输入puzzle的acid;300,,,,,,,,,,,,,,,,,,,,,,,,,1
12001,电影项目,,,,,,movie,1,movie,,,movie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,1
12002,摄像机移动,,,,,,movie,1,timeline,,,timeline,摄像机移动,,link;12012,,,,,,,,,,,,,,,,,,,,,,,,,,100,1
12003,显示文本,,,,,,movie,1,timeline,,,timeline,显示文本,,link;12013,,,,,,,,,,,,,,,,,,,,,,,,,,200,1
12004,运动,,,,,,movie,1,timeline,,,timeline,运动,,link;12014,,,,,,,,,,,,,,,,,,,,,,,,,,300,1
12006,广播,,,,,,movie,1,timeline,,,timeline,广播,,link;12015,,,,,,,,,,,,,,,,,,,,,,,,,,400,1
12007,摄像机缩放,,,,,,movie,1,timeline,,,timeline,摄像机缩放,,link;12016,,,,,,,,,,,,,,,,,,,,,,,,,,500,1
12008,播放声音,,,,,,movie,,timeline,,,timeline,播放声音,,link;12017,,,,,,,,,,,,,,,,,,,,,,,,,,600,1
12009,字幕,,,,,,movie,1,timeline,,,timeline,字幕,,link;12018,,,,,,,,,,,,,,,,,,,,,,,,,,700,1
12010,电影项目索引,,,,,,movie,,value,,,movie,%%{1},,movieArgs;,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1
12011,播放时间线代码块,,,,,,movie,1,block,,,,播放%%{1},,blank;;10;1600,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1
12012,摄像机移动-时间轴展开,,,,,,movie,,block,,,,让%%{1}的摄像机移动到%%{2},,blank;10126;2;800,blank;10129;1;500,,,,,,,,,,,,,,,,,,,,,,,,,,1
12013,显示文本-时间轴展开,,,,,,movie,,block,,,,让%%{1}显示%%{2},,blank;10126;2;800,input;2;请输入文本;300;;1,,,,,,,,,,,,,,,,,,,,,,,,,,1
12014,运动-时间轴展开,,,,,,movie,,block,,,,让%%{1}运动到%%{2},,blank;10126;2;800,blank;10129;1;500,,,,,,,,,,,,,,,,,,,,,,,,,,1
12015,广播-时间轴展开,,,,,,movie,,block,,,,广播%%{1},,input;2;请输入广播;300,,,,,,,,,,,,,,,,,,,,,,,,,,,1
12016,摄像机缩放-时间轴展开,,,,,,movie,,block,,,,让%%{1}摄像机缩放到%%{2},,blank;10126;2;800,"input;1;倍,1,0,10;1000",,,,,,,,,,,,,,,,,,,,,,,,,,1
12017,播放声音-时间轴展开,,,,,,movie,,block,,,,对%%{1}播放%%{2}并%%{3}$$说话者%%{4}内容%%{5}$$,"3,1,1",blank;10126;2;800,blank;13003;13;1900,"dropdown;1;不展示字幕,展示字幕",blank;10126;2;800,input;2;请输入文本;300;;1,,,,,,,,,,,,,,,,,,,,,,,1
12018,字幕-时间轴展开,,,,,,movie,,block,,,,"对%%{1}播放字幕%%{2},说话者%%{3}",,blank;10126;2;800,input;2;请输入文本;300;;1,blank;10126;2;800,,,,,,,,,,,,,,,,,,,,,,,,,1
12019,设置摄像机模式,,,,,,movie,1,timeline,,,timeline,摄像机模式,,link;10901,,,,,,,,,,,,,,,,,,,,,,,,,,800,1
12020,摄像机TP,,,,,,movie,1,timeline,,,timeline,摄像机传送,,link;10902,,,,,,,,,,,,,,,,,,,,,,,,,,900,1
12021,角色TP,,,,,,movie,1,timeline,,,timeline,角色传送,,link;10148,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1
13001,新声音代码块-播放声音,,,,,,function,1,block,,,,播放%%{1},,blank;13003;13;1900,,,,,,,,,,,,,,,,,,,,,,,,,,,1
13002,新声音代码块-播放声音直到结束,,,,,,function,1,block,,,,播放%%{1}直到结束,,blank;13003;13;1900,,,,,,,,,,,,,,,,,,,,,,,,,,,1
13003,新声音代码块-声音素材库,,,,,,prop,1,blank,,,sound,声音%%{1},,soundLibrary,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40001,硬件代码块写入实体并运行,,,,,,internal,,block,,,,将%%{1}硬件的代码块覆盖写入到%%{2}标签页中并运行,,"dropdown;1;1号,2号,3号,4号,5号,6号,7号,8号",input;2;请输入标签页名称,,,,,,,,,,,,,,,,,,,,,,,,,,1
40002,显示/隐藏硬件颜色标识,,,,,,internal,,block,,,,%%{1}%%{2}颜色标识,,"dropdown;1;显示,隐藏","dropdown;1;1号（蓝色）,2号（绿色）,3号（红色）,4号（黄色）,5号（紫色）,6号（黑色）,7号（棕色）,8号（白色）",,,,,,,,,,,,,,,,,,,,,,,,,,1
40003,识别到硬件体感动作事件,,,,,,event,,block,,,,当%%{1}硬件进行%%{2}操作时$$%%{3}$$,"9,1,0","dropdown;1;1号,2号,3号,4号,5号,6号,7号,8号,任意;;1,2,3,4,5,6,7,8,0","dropdown;1;画←,画→,画↑,画↓,按下顶部按钮,按下侧面按钮",output;40004;硬件号,,,,,,,,,,,,,,,,,,,,,,,,,1
40004,硬件号返回值,,,,,,return,,value,,,,硬件号回调,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40005,显示/隐藏硬件体感轨迹,,,,,,internal,,block,,,,%%{1}%%{2}硬件体感轨迹,,"dropdown;1;显示,隐藏","dropdown;1;1号,2号,3号,4号,5号,6号,7号,8号,所有;;1,2,3,4,5,6,7,8,0",,,,,,,,,,,,,,,,,,,,,,,,,,1
40006,硬件开始/停止模拟鼠标,,,,,,internal,,block,,,,%%{1}硬件%%{2}模拟鼠标,,"dropdown;1;1号,2号,3号,4号,5号,6号,7号,8号","dropdown;1;开始,停止",,,,,,,,,,,,,,,,,,,,,,,,,,1
40007,硬件进入体感识别模式,,,,,,internal,,block,,,,%%{1}硬件进入体感识别模式,,"dropdown;1;1号,2号,3号,4号,5号,6号,7号,8号,所有;;1,2,3,4,5,6,7,8,0",,,,,,,,,,,,,,,,,,,,,,,,,,,1
40008,所有硬件退出体感模式,,,,,,internal,,block,,,,所有硬件退出体感模式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40009,当硬件识别代码块时,,,,,,event,,block,,,,当%%{1}硬件识别代码块时$$%%{2}$$,"9,1,0","dropdown;1;1号,2号,3号,4号,5号,6号,7号,8号,任意;;1,2,3,4,5,6,7,8,0",output;40004;硬件号,,,,,,,,,,,,,,,,,,,,,,,,,,1
40010,当硬件写入的代码块运行完毕时,,,,,,event,,block,,,,当%%{1}硬件写入的代码块运行完毕时$$%%{2}$$,"9,1,0","dropdown;1;1号,2号,3号,4号,5号,6号,7号,8号,任意;;1,2,3,4,5,6,7,8,0",output;40004;硬件号,,,,,,,,,,,,,,,,,,,,,,,,,,1
40011,硬件多人选择题返回值,,,,,,return,,value,,,,硬件多人选择题回调,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40012,弹出硬件多人选择题,,,,,,internal,,block,,,,对%%{1}弹出多人选择题%%{2}##选项数：%%{3}正确选项：%%{4}##题目：%%{5}##选项1：%%{6}##选项2：%%{7}##选项3：%%{8}##选项4：%%{9},,blank;10126;2;800,output;40011;多人选择题,"dropdown;1;1,2,3,4","dropdown;1;1,2,3,4",input;2;请输入图片url或题目文本,input;2;请输入图片url或选项文本,input;2;请输入图片url或选项文本,input;2;请输入图片url或选项文本,input;2;请输入图片url或选项文本,,,,,,,,,,,,,,,,,,,1
40013,硬件多人选择题答对硬件号返回值,,,,,,return,,value,,,,硬件号返回值,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40014,多人选择题答题完成事件,,,,,,event,,block,,,,当%%{1}答题完成时，%%{2},,blank;;14;2000,output;40013;答对硬件号,,,,,,,,,,,,,,,,,,,,,,,,,,1
40015,设置实体举起实体类,,,,,,internal,,block,,,,设置%%{1}举起%%{2},,blank;10125;2;800,blank;10244;3;700,,,,,,,,,,,,,,,,,,,,,,,,,,1
40016,清除实体举起实体类设置,,,,,,internal,,block,,,,清除实体举起实体类设置,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40017,硬件拿起代码块,,,,,,function,,block,,,,%%{1},,juniorArgs,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40018,硬件放下代码块,,,,,,function,,block,,,,%%{1},,juniorArgs,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40019,硬件破坏代码块,,,,,,function,,block,,,,%%{1},,juniorArgs,,,,,,,,,,,,,,,,,,,,,,,,,,,1
14001,搬运,,,,,,function,1,block,,,,举起%%{1},,"surround;0,1,2,3,4,5,6,7",,,,,,,,,,,,,,,,,,,,,,,,,,,1
14002,放置,,,,,,function,1,block,,,,放下%%{1},,"surround;0,1,2,3,4,5,6,7",,,,,,,,,,,,,,,,,,,,,,,,,,,1
14003,破坏,,,,,,function,1,block,,,,破坏%%{1},,"surround;0,1,2,3,4,5,6,7",,,,,,,,,,,,,,,,,,,,,,,,,,,1
14004,实体拿起/放下/破坏实体事件,,,,,,event,1,block,,,,当%%{1}%%{2}%%{3}时，获取%%{4},,blank;10125;2;800,"dropdown;1;拿起,放下,破坏",output;10095;实体,output;10601;实体类别,,,,,,,,,,,,,,,,,,,,,,,,1
21001,sc快速编码专用开始代码块,是,,start,次,,event,1,block,,,,开始,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,1
21002,开关快速编码模式代码块,,,,,,internal,1,block,,,,%%{1}%%{2}快速编码功能$$，%%{3}模式$$,"1,1,1","dropdown;1;开启,关闭",blank;;2;800,"dropdown;1;SC,PY",,,,,,,,,,,,,,,,,,,,,,,,,1
21003,快速编码运行、停止事件,,,,,,event,1,block,,,,当当前场景$$%%{1}$$快速编码%%{2}时,"1,1,99",blank;10125;2;800,"dropdown;1;运行,停止",,,,,,,,,,,,,,,,,,,,,,,,,,1
88001,删除实体代码块,,,,,,internal,1,block,,,,删除%%{1}（警告：请谨慎使用）,,blank;;2;800,,,,,,,,,,,,,,,,,,,,,,,,,,,1
